xShift,crossingAngle,axialRotation,zShift
8.2,-43.0,-80.0,6.0
9.0,-37.0,-40.0,5.5
8.0,-39.0,-50.0,5.0
9.0,-43.0,-40.0,4.0
9.0,-45.0,-10.0,2.0
8.4,-41.0,-35.0,2.5
8.4,-41.0,-25.0,1.0
9.0,-39.0,-75.0,3.5
8.2,-41.0,-50.0,2.0
8.6,-43.0,-25.0,3.0
8.2,-41.0,-50.0,5.5
8.8,-37.0,-45.0,2.5
8.6,-43.0,-35.0,5.0
8.6,-43.0,-40.0,4.5
9.0,-39.0,-80.0,4.5
8.2,-45.0,-70.0,4.0
8.4,-45.0,-25.0,1.5
8.6,-45.0,-20.0,3.0
8.8,-37.0,-55.0,5.5
8.0,-45.0,-45.0,3.0
8.6,-41.0,-50.0,2.0
8.0,-45.0,-60.0,2.5
8.2,-39.0,-20.0,2.0
8.8,-39.0,-20.0,1.0
8.6,-45.0,-40.0,6.0
8.2,-39.0,-80.0,5.5
9.0,-37.0,-50.0,2.0
8.8,-43.0,-60.0,5.5
8.8,-39.0,-55.0,5.0
8.6,-35.0,-60.0,6.0
8.2,-35.0,-65.0,4.5
8.8,-43.0,-95.0,0.5
8.6,-39.0,-55.0,5.0
8.0,-43.0,-45.0,1.5
9.0,-37.0,-95.0,0.5
9.0,-45.0,-40.0,0.0
8.2,-39.0,-60.0,3.0
8.4,-39.0,-75.0,5.5
8.0,-39.0,-50.0,1.5
8.2,-43.0,-30.0,2.0
9.0,-45.0,-10.0,1.0
8.0,-41.0,-45.0,1.0
8.8,-43.0,-60.0,4.5
8.8,-43.0,-20.0,0.5
8.4,-39.0,-30.0,1.5
8.2,-45.0,-65.0,6.0
8.8,-43.0,-35.0,0.5
8.8,-37.0,-35.0,2.0
8.6,-41.0,-15.0,1.0
9.0,-35.0,-65.0,3.0
8.4,-35.0,-20.0,1.0
8.6,-35.0,-45.0,0.5
9.0,-35.0,-20.0,3.0
8.8,-37.0,-50.0,3.0
8.4,-45.0,-20.0,1.5
8.8,-41.0,-70.0,3.0
8.6,-43.0,-25.0,0.0
8.0,-41.0,-80.0,5.5
8.2,-45.0,-55.0,2.5
9.0,-39.0,-40.0,5.5
8.4,-45.0,-35.0,0.5
8.6,-45.0,-25.0,2.5
8.2,-41.0,-35.0,2.0
8.0,-45.0,-60.0,5.5
8.4,-39.0,-85.0,6.0
8.4,-45.0,-25.0,2.5
8.8,-45.0,-20.0,1.0
8.6,-39.0,-25.0,0.5
9.0,-39.0,-5.0,1.0
8.6,-37.0,-40.0,0.5
8.6,-41.0,-25.0,0.5
8.6,-39.0,-30.0,1.5
9.0,-45.0,-65.0,5.0
8.4,-41.0,-60.0,5.0
8.6,-35.0,-65.0,4.0
8.2,-41.0,-75.0,5.5
9.0,-45.0,-50.0,6.0
8.4,-41.0,-60.0,6.0
8.6,-43.0,-35.0,4.0
9.0,-37.0,-45.0,5.5
8.4,-37.0,-20.0,1.5
8.6,-35.0,-30.0,3.0
8.0,-39.0,-45.0,0.5
8.6,-35.0,-40.0,0.0
8.2,-41.0,-30.0,0.5
8.8,-37.0,-40.0,1.0
8.4,-39.0,-45.0,6.0
8.8,-37.0,-20.0,2.0
9.0,-37.0,-25.0,2.0
9.0,-45.0,-15.0,1.5
8.6,-43.0,-85.0,5.5
8.0,-37.0,-40.0,4.0
8.4,-39.0,-10.0,0.5
9.0,-43.0,-35.0,5.5
8.2,-39.0,-50.0,1.0
8.0,-37.0,-40.0,1.5
9.0,-37.0,-20.0,2.0
8.8,-45.0,-20.0,1.5
8.4,-43.0,-40.0,1.0
8.0,-45.0,-25.0,1.0
8.6,-35.0,-20.0,2.0
8.4,-39.0,-30.0,2.0
8.8,-45.0,-15.0,1.0
9.0,-45.0,-40.0,2.5
8.6,-41.0,-15.0,2.0
8.8,-39.0,-65.0,3.5
8.0,-37.0,-65.0,6.0
9.0,-41.0,-40.0,2.5
8.0,-43.0,-60.0,2.5
8.6,-43.0,-30.0,4.5
8.4,-41.0,-30.0,1.5
8.6,-35.0,-65.0,3.5
8.6,-45.0,-50.0,1.0
8.0,-45.0,-25.0,2.5
8.0,-39.0,-35.0,0.0
8.2,-45.0,-35.0,3.0
9.0,-45.0,-95.0,0.0
8.4,-35.0,-55.0,4.0
8.8,-43.0,-30.0,1.5
8.8,-41.0,-45.0,2.5
9.0,-45.0,-50.0,2.0
8.2,-41.0,-45.0,2.5
8.4,-45.0,-45.0,2.5
9.0,-39.0,-50.0,5.0
8.0,-43.0,-70.0,6.0
8.8,-37.0,-25.0,3.5
8.8,-41.0,-45.0,4.0
8.0,-37.0,-30.0,1.5
9.0,-37.0,-85.0,6.0
8.6,-41.0,-15.0,0.0
8.0,-41.0,-35.0,2.5
9.0,-37.0,-50.0,3.0
8.4,-41.0,-15.0,1.0
8.0,-35.0,-40.0,4.0
8.4,-41.0,-30.0,2.0
8.8,-35.0,-70.0,4.0
8.8,-39.0,-55.0,2.5
8.2,-41.0,-45.0,4.5
8.4,-41.0,-30.0,4.0
8.0,-45.0,-80.0,6.0
8.8,-37.0,-65.0,6.0
8.6,-45.0,-70.0,6.0
8.4,-35.0,-40.0,4.5
9.0,-39.0,-45.0,3.0
8.0,-43.0,-45.0,3.0
8.6,-43.0,-10.0,1.5
8.4,-35.0,-80.0,6.0
8.6,-39.0,-45.0,2.5
9.0,-39.0,-100.0,0.5
8.6,-37.0,-50.0,2.5
8.8,-39.0,-30.0,3.5
9.0,-39.0,-50.0,1.5
8.4,-41.0,-45.0,4.0
8.6,-39.0,-75.0,4.0
8.6,-45.0,-50.0,6.0
8.0,-41.0,-20.0,0.0
8.4,-43.0,-5.0,0.5
8.2,-39.0,-35.0,2.0
9.0,-43.0,-45.0,2.0
8.2,-37.0,-75.0,6.0
8.2,-37.0,-15.0,0.0
8.6,-43.0,-25.0,2.0
8.0,-35.0,-30.0,2.0
8.8,-37.0,-20.0,1.0
8.0,-41.0,-65.0,5.0
8.6,-39.0,-35.0,4.0
8.6,-39.0,-70.0,3.5
8.4,-37.0,-35.0,1.0
8.8,-37.0,-20.0,2.5
8.8,-43.0,-100.0,1.5
8.6,-37.0,-50.0,4.0
8.2,-35.0,-35.0,2.5
8.8,-39.0,-40.0,0.0
8.0,-43.0,-40.0,3.0
8.6,-39.0,-45.0,1.0
8.2,-39.0,-45.0,2.0
8.6,-45.0,-35.0,2.5
8.4,-35.0,-45.0,5.5
8.6,-39.0,-35.0,2.0
8.8,-45.0,-55.0,6.0
9.0,-43.0,-10.0,1.5
9.0,-41.0,-35.0,2.5
9.0,-41.0,-45.0,3.0
8.2,-45.0,-55.0,1.0
8.8,-45.0,-25.0,0.5
8.6,-41.0,-45.0,0.0
9.0,-45.0,-50.0,4.5
8.8,-41.0,-45.0,1.0
8.2,-43.0,-45.0,0.0
8.6,-45.0,-20.0,1.0
8.0,-43.0,-35.0,3.0
8.4,-39.0,-35.0,4.0
8.2,-45.0,-70.0,6.0
8.0,-39.0,-45.0,1.5
8.4,-45.0,-55.0,1.0
8.8,-45.0,-60.0,5.5
8.4,-35.0,-25.0,1.5
8.6,-45.0,-20.0,0.0
9.0,-43.0,-35.0,4.0
8.2,-41.0,-10.0,0.0
9.0,-39.0,-55.0,6.0
8.0,-37.0,-30.0,0.5
8.8,-37.0,-45.0,1.0
8.8,-37.0,-40.0,0.5
8.4,-45.0,-0.0,6.0
8.6,-45.0,-30.0,1.0
9.0,-39.0,-35.0,5.5
8.6,-39.0,-40.0,0.0
8.6,-37.0,-55.0,4.0
8.4,-35.0,-75.0,5.5
8.2,-35.0,-65.0,6.0
9.0,-41.0,-20.0,1.0
8.2,-39.0,-10.0,0.5
9.0,-43.0,-5.0,0.5
9.0,-39.0,-40.0,2.5
9.0,-43.0,-15.0,2.5
9.0,-39.0,-5.0,0.0
8.2,-41.0,-15.0,1.5
8.2,-39.0,-55.0,2.0
8.6,-45.0,-75.0,6.0
8.2,-35.0,-60.0,3.5
9.0,-43.0,-60.0,3.5
8.4,-45.0,-100.0,0.5
8.0,-45.0,-60.0,3.5
8.8,-43.0,-85.0,6.0
9.0,-45.0,-40.0,5.0
8.2,-35.0,-30.0,3.0
8.0,-43.0,-65.0,4.5
8.6,-39.0,-30.0,0.0
8.4,-37.0,-35.0,2.5
8.4,-39.0,-100.0,0.5
8.6,-35.0,-45.0,5.5
8.8,-35.0,-35.0,2.5
8.8,-45.0,-35.0,4.0
8.4,-39.0,-70.0,5.0
8.8,-43.0,-55.0,2.5
9.0,-35.0,-35.0,1.0
8.8,-39.0,-30.0,0.5
9.0,-45.0,-45.0,4.0
8.6,-45.0,-60.0,4.5
8.2,-45.0,-75.0,6.0
8.0,-45.0,-60.0,5.0
8.8,-41.0,-20.0,3.0
9.0,-37.0,-95.0,1.0
8.4,-45.0,-10.0,0.0
9.0,-41.0,-35.0,2.0
8.0,-43.0,-30.0,2.5
8.2,-35.0,-50.0,5.0
8.8,-39.0,-80.0,5.0
8.2,-37.0,-50.0,3.5
9.0,-35.0,-60.0,2.5
8.8,-37.0,-45.0,4.0
9.0,-41.0,-85.0,5.0
8.4,-45.0,-5.0,0.5
9.0,-35.0,-80.0,5.0
8.0,-41.0,-70.0,4.0
8.0,-37.0,-70.0,5.0
8.0,-43.0,-50.0,2.0
8.8,-45.0,-10.0,1.0
8.0,-35.0,-35.0,3.5
8.4,-39.0,-15.0,1.5
8.8,-43.0,-55.0,4.5
8.6,-37.0,-45.0,3.0
8.8,-37.0,-70.0,4.5
8.8,-43.0,-45.0,4.5
8.2,-37.0,-60.0,4.5
9.0,-41.0,-5.0,0.5
8.4,-45.0,-35.0,3.0
8.6,-35.0,-40.0,3.0
9.0,-45.0,-20.0,1.5
8.6,-39.0,-40.0,2.5
8.0,-43.0,-40.0,0.5
8.0,-45.0,-45.0,5.0
8.4,-37.0,-25.0,2.0
8.4,-39.0,-20.0,2.0
9.0,-37.0,-30.0,1.5
8.4,-37.0,-50.0,5.5
8.8,-35.0,-30.0,4.0
8.8,-35.0,-45.0,1.5
8.2,-43.0,-50.0,3.5
8.4,-39.0,-40.0,4.5
8.8,-45.0,-25.0,1.5
8.6,-43.0,-65.0,2.5
8.0,-39.0,-40.0,2.5
8.8,-45.0,-95.0,0.0
8.8,-39.0,-35.0,3.0
9.0,-45.0,-35.0,3.5
8.2,-45.0,-55.0,3.5
8.6,-39.0,-65.0,6.0
8.8,-39.0,-40.0,2.5
8.2,-45.0,-45.0,6.0
8.8,-45.0,-70.0,3.0
8.6,-43.0,-35.0,2.0
8.8,-39.0,-80.0,4.5
8.4,-45.0,-50.0,4.5
9.0,-37.0,-45.0,5.0
8.4,-43.0,-65.0,5.5
8.2,-35.0,-40.0,4.5
8.4,-45.0,-35.0,0.0
9.0,-39.0,-75.0,5.5
8.6,-37.0,-30.0,2.5
9.0,-43.0,-90.0,0.5
8.6,-45.0,-60.0,2.5
8.0,-43.0,-45.0,2.5
9.0,-43.0,-50.0,2.0
8.0,-45.0,-30.0,0.5
9.0,-41.0,-60.0,1.5
8.6,-39.0,-20.0,0.5
8.4,-45.0,-65.0,6.0
8.2,-45.0,-25.0,1.5
8.4,-37.0,-50.0,6.0
8.4,-35.0,-10.0,0.0
9.0,-37.0,-50.0,5.0
8.8,-37.0,-30.0,1.0
8.6,-45.0,-15.0,1.0
9.0,-41.0,-75.0,4.0
8.2,-45.0,-20.0,2.0
9.0,-37.0,-30.0,0.0
8.2,-41.0,-30.0,3.5
8.4,-37.0,-50.0,2.0
8.6,-35.0,-25.0,1.0
8.4,-45.0,-40.0,1.0
8.6,-39.0,-100.0,1.0
8.4,-45.0,-60.0,3.5
8.2,-41.0,-75.0,6.0
9.0,-35.0,-15.0,2.0
8.0,-45.0,-50.0,4.0
8.8,-43.0,-70.0,5.5
9.0,-45.0,-35.0,6.0
8.2,-39.0,-20.0,1.5
8.8,-39.0,-60.0,6.0
9.0,-43.0,-100.0,2.0
8.4,-37.0,-45.0,3.5
8.0,-35.0,-45.0,3.0
8.6,-39.0,-45.0,6.0
9.0,-45.0,-40.0,4.0
8.8,-43.0,-75.0,4.5
8.8,-41.0,-60.0,4.0
8.0,-45.0,-25.0,0.0
8.6,-41.0,-60.0,5.5
9.0,-43.0,-100.0,0.0
9.0,-43.0,-50.0,3.5
8.2,-35.0,-40.0,4.0
8.0,-45.0,-30.0,1.0
8.2,-45.0,-50.0,3.0
9.0,-45.0,-35.0,4.0
8.6,-43.0,-65.0,5.5
8.8,-45.0,-60.0,2.0
8.0,-37.0,-60.0,4.0
8.2,-43.0,-45.0,1.0
8.6,-43.0,-40.0,6.0
8.4,-43.0,-80.0,5.5
8.4,-35.0,-55.0,6.0
8.0,-45.0,-70.0,6.0
9.0,-35.0,-10.0,0.5
8.8,-41.0,-15.0,2.5
8.4,-39.0,-35.0,3.5
8.4,-39.0,-45.0,0.0
8.0,-45.0,-45.0,1.0
9.0,-37.0,-100.0,0.5
9.0,-37.0,-45.0,2.5
8.4,-43.0,-65.0,3.0
8.0,-43.0,-55.0,5.5
8.0,-43.0,-35.0,2.5
8.2,-43.0,-35.0,3.5
8.6,-35.0,-65.0,5.0
8.6,-37.0,-25.0,0.5
9.0,-35.0,-25.0,1.5
8.6,-37.0,-35.0,0.5
8.4,-45.0,-5.0,0.0
8.2,-45.0,-70.0,5.5
9.0,-41.0,-15.0,1.5
8.8,-35.0,-35.0,4.5
8.4,-35.0,-30.0,2.5
8.8,-39.0,-50.0,1.0
8.6,-45.0,-40.0,5.5
9.0,-45.0,-95.0,1.0
9.0,-43.0,-15.0,1.5
8.8,-43.0,-55.0,1.0
9.0,-39.0,-25.0,3.5
9.0,-39.0,-35.0,1.5
9.0,-39.0,-75.0,6.0
8.2,-43.0,-45.0,5.0
8.0,-35.0,-65.0,4.5
8.6,-43.0,-25.0,1.5
8.6,-39.0,-15.0,0.5
8.6,-41.0,-45.0,3.5
9.0,-43.0,-45.0,2.5
8.8,-37.0,-55.0,2.5
8.8,-35.0,-50.0,1.0
8.6,-45.0,-55.0,1.5
8.2,-43.0,-50.0,6.0
8.6,-37.0,-20.0,1.0
8.8,-39.0,-15.0,1.0
8.4,-43.0,-45.0,6.0
8.8,-43.0,-35.0,5.5
8.0,-43.0,-30.0,0.5
9.0,-45.0,-50.0,2.5
8.8,-43.0,-30.0,2.5
8.4,-35.0,-30.0,0.0
8.4,-41.0,-75.0,5.0
8.0,-39.0,-25.0,2.0
9.0,-45.0,-35.0,0.5
8.6,-41.0,-50.0,2.5
8.6,-39.0,-50.0,6.0
8.6,-35.0,-25.0,0.5
8.6,-41.0,-55.0,6.0
8.2,-41.0,-60.0,6.0
9.0,-39.0,-55.0,3.0
8.2,-45.0,-30.0,1.5
8.8,-39.0,-45.0,2.0
8.6,-37.0,-40.0,2.0
8.2,-35.0,-45.0,2.5
9.0,-41.0,-45.0,1.5
8.4,-45.0,-30.0,0.5
8.6,-45.0,-30.0,1.5
9.0,-35.0,-20.0,2.0
9.0,-39.0,-100.0,0.0
8.4,-43.0,-60.0,3.5
8.8,-41.0,-90.0,0.0
8.0,-45.0,-50.0,3.5
9.0,-41.0,-50.0,4.0
8.4,-41.0,-100.0,0.5
8.6,-43.0,-40.0,2.5
8.4,-39.0,-50.0,5.0
8.8,-35.0,-30.0,1.0
8.8,-45.0,-35.0,2.5
8.6,-35.0,-45.0,1.5
8.0,-37.0,-60.0,5.5
8.6,-41.0,-10.0,1.5
8.2,-39.0,-10.0,0.0
8.6,-37.0,-40.0,5.0
8.2,-41.0,-30.0,2.0
8.6,-39.0,-45.0,3.0
9.0,-37.0,-65.0,2.5
8.0,-45.0,-75.0,6.0
8.8,-37.0,-70.0,3.5
8.6,-45.0,-60.0,5.5
8.4,-45.0,-30.0,3.5
8.4,-45.0,-30.0,4.0
8.4,-43.0,-100.0,0.0
